TIENDA,SHOPIFY_ID,NOMBRE,PRECIO,TALLAS,IMAGEN_URL,ACTIVO,STOCK
MANDARINA,7903025463389,Chaqueta Dragon Ball Z - CLASIC,35.00,"2XL, XL, L, M, S, XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/goku-02.png?v=1746627152,TRUE,10
MANDARINA,7903041421405,Camisetas Dragon Ball,19.99,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/mock_Mesadetrabajo1.png?v=1746648611,TRUE,10
MANDARINA,7903044075613,Chaquetas Power Ranger,39.99,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/REDRANGER_Mesadetrabajo1.png?v=1746649096,TRUE,10
MANDARINA,7903050498141,Chaqueta Padrinos Magicos,35.00,"2XL, XL, L, M, XS, S, 2XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/COSMOWANDA_Mesadetrabajo1.png?v=1746649556,TRUE,10
MANDARINA,7903070847069,Chaqueta Kirby,35.00,"XL, L, M, XS, S",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/KIRBY_Mesadetrabajo1.png?v=1746650360,TRUE,10
MANDARINA,7903091163229,Chaquetas Universo DC,35.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/NUEVOSDISENOSmichaelstarsheild_Mesadetrabajo1-copia.png?v=1746650813,TRUE,10
MANDARINA,7903106957405,Camiseta Spiderman Coleccion,19.99,"3XL, 2XL, XL, L, M, S, XS, 2XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/SPIDERMAN_Mesadetrabajo1.png?v=1746651238,TRUE,10
MANDARINA,7903115411549,Hoodie Spiderman,30.00,"2XL, XL, L, M, S, XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/NUEVOS1_Mesadetrabajo1.png?v=1746651592,TRUE,10
MANDARINA,7903127666781,Ugly Sweaters,30.00,"2XS, XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/NAVIDADPOWERRANGERS_Mesadetrabajo1.png?v=1746652150,TRUE,10
MANDARINA,7903137300573,Hoodie Mortal Kombat,30.00,"XL, L, M, XS, S",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/MortalKombatRojo_Mesadetrabajo1.png?v=1746652510,TRUE,10
MANDARINA,7903144509533,Chaqueta Naruto,35.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/NARUTOHOODIEGOLDEDITION_Mesadetrabajo1.png?v=1746652796,TRUE,10
MANDARINA,7903148212317,Hoodie Plaza Sesamo,25.00,"XL, L, M, S, XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/PLAZASEAMO_Mesadetrabajo1.png?v=1746652923,TRUE,10
MANDARINA,7903152963677,Hoodie Reptar Rugrats,30.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/RUGRATS_Mesadetrabajo1_Mesadetrabajo1.png?v=1746653121,TRUE,10
MANDARINA,7903159025757,Hoodie Thundercats,25.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/THUNDECATSrojo_Mesadetrabajo1.png?v=1746653377,TRUE,10
MANDARINA,7903161221213,Hoodie Ranma 1/2,25.00,"2XL, XL, L, M, S, XS, De 5 a 9 Anos",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/RANMA_Mesadetrabajo1.png?v=1746653494,TRUE,10
MANDARINA,7903171444829,Chaqueta Smallville Clark Kent,30.00,"2XL, XL, L, M, S, XS, 3XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/SMALLVILLE_Mesadetrabajo1_Mesadetrabajo1.png?v=1746653763,TRUE,10
MANDARINA,7903350816861,Camiseta Urban Style,19.99,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/404_Mesadetrabajo1.jpg?v=1746661667,TRUE,10
MANDARINA,7903354781789,Hoodie X-men,30.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/XMENCICLOPEPROMO-02.png?v=1746661898,TRUE,10
MANDARINA,7904217759837,Chaqueta RED Ranger,39.99,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/REDRANGER_Mesadetrabajo1.png?v=1746649096,TRUE,10
MANDARINA,7904218284125,Chaqueta White Ranger,39.99,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/WhiteRANGER_Mesadetrabajo1.png?v=1746649095,TRUE,10
MANDARINA,7904218447965,Chaqueta Black Ranger,39.99,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/BLACK_RANGER_RANGER_Mesa_de_trabajo_1.png?v=1746712644,TRUE,10
MANDARINA,7904218808413,Chaqueta Pink Ranger,39.99,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/PINKRANGER_Mesadetrabajo1.png?v=1746649095,TRUE,10
MANDARINA,7904251150429,Hoodie X-men Ciclope,30.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/XMENCICLOPEPROMO-02.png?v=1746661898,TRUE,10
MANDARINA,7904251543645,Hoodie Thundercats Red,25.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/THUNDECATSrojo_Mesadetrabajo1.png?v=1746653377,TRUE,10
MANDARINA,7904251740253,Hoodie Thundercats Black,25.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/LEONOHOODIE_Mesadetrabajo1.png?v=1746653377,TRUE,10
MANDARINA,7904254034013,Hoodie Naruto,25.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/HOODIENARUTO_Mesadetrabajo1.png?v=1746652796,TRUE,10
MANDARINA,7904254656605,Hoodie Mortal Kombat Amarillo,25.00,"XL, L, M, XS, S",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/MORTALKOMBAT_Mesadetrabajo1.png?v=1746652510,TRUE,10
MANDARINA,7904348340317,Hoodie One Piece Luffy,30.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/WhatsAppImage2025-05-07at12.14.16_1.jpg?v=1746736819,TRUE,10
MANDARINA,7905920090205,Hoodie X-men Bestia,25.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/BESTIA-01.png?v=1746661894,TRUE,10
MANDARINA,7905920122973,Hoodie X-men Magneto,25.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/MAGNETO-01.png?v=1746661894,TRUE,10
MANDARINA,7905920188509,Hoodie X-men Gambito,25.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/GAMBITO_PROMO-01.png?v=1746661894,TRUE,10
MANDARINA,7905920319581,Hoodie X-men Rouge,25.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/ROUGE-01.png?v=1746661894,TRUE,10
MANDARINA,7905920647261,Hoodie X-men Jubilee,25.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/JUBILEE-01.png?v=1746661894,TRUE,10
MANDARINA,7905920942173,Hoodie X-men Storm,25.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/STORM-01.png?v=1746661894,TRUE,10
MANDARINA,7906034286685,Hoodie X-men Wolverine,19.99,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/WOLVERINE-01.png?v=1746661894,TRUE,10
MANDARINA,7906035236957,Camisetas Dragon Ball GOKU,19.99,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/mock_Mesadetrabajo1.png?v=1746648611,TRUE,10
MANDARINA,7906035368029,Camisetas Dragon Ball Vegeta,20.00,"S, M, L, XL, 2XL, 3XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/mock-05.png?v=1746648614,TRUE,10
MANDARINA,7909163466845,Chaqueta Star Wars Edicion Especial Negra,35.00,"2XL, XL, L, M, S, XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/star-19.png?v=1747521027,TRUE,10
MANDARINA,7909164154973,Chaqueta Power Rangers Estilo Varsity,35.00,"2XL, XL, L, M, S",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/POWER-24.png?v=1747521325,TRUE,10
MANDARINA,7909164318813,Chaqueta Super Campeones Niupi Edition,35.00,"XL, L, M, S, XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/varios-14.png?v=1747521493,TRUE,10
